Year,Attendance,Status,Notes
2004,260000,Completed,首屆上海大獎賽，歷史最高紀錄
2005,200000,Completed,賽事熱度維持高檔，賽季收官站
2006,155000,Completed,舒馬克(Michael Schumacher)F1生涯最後一勝
2007,140000,Completed,漢米爾頓維修區退賽，Kimi奪冠伏筆
2008,130000,Completed,改至賽季末段舉辦
2009,120000,Completed,移至春季4月舉辦，Red Bull車隊歷史首勝
2010,125000,Completed,雨戰精彩攻防
2011,135000,Completed,觀眾人數逐步回升
2012,140000,Completed,Nico Rosberg 奪得車隊與生涯首勝
2013,145000,Completed,十週年紀念賽
2014,150000,Completed,進入V6混動元年
2015,145000,Completed,賽事穩定運營期
2016,140000,Completed,大眾潮流文化培育期
2017,145000,Completed,高寬車體新規首年
2018,150000,Completed,Ricciardo 驚天超車奪冠
2019,160000,Completed,F1歷史第1000場大獎賽里程碑
2020,0,Cancelled,因 COVID-19 疫情停辦
2021,0,Cancelled,因 COVID-19 疫情停辦
2022,0,Cancelled,因 COVID-19 疫情停辦
2023,0,Cancelled,因 COVID-19 疫情停辦
2024,200000,Completed,疫情後強勢回歸，中國車手周冠宇主場首秀爆滿
2025,210000,Completed,常態化火熱舉辦，票房持續秒殺
2026,220000,Completed,新規首年+最年輕桿位誕生，迎來歷史第二高峰
